2024-10-29 02:59:11 - Загружен заказ: 2, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 3, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 4, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 5, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 6, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 7, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 8, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 9, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 10, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 11, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 12, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 13, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 14, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 15, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 16, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 17, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 18, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 19, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 20, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 21, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 22, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 23, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 24, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 25, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 26, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 27, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 28, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 29, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 30, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 31, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 32, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 33, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 34, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 35, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 36, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 37, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 38, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 39, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 40, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 41, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 42, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 43, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 44, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 45, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 46, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 47, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 48, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 49, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 50, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 51, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 52, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 53, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 54, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 55, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 56, Район: Советский
2024-10-29 02:59:11 - Загружен заказ: 57, Район: Кировский
2024-10-29 02:59:11 - Загружен заказ: 58, Район: Промышленный
2024-10-29 02:59:11 - Загружен заказ: 59, Район: Ленинский
2024-10-29 02:59:11 - Загружен заказ: 60, Район: Советский
2024-10-29 02:59:11 - Все 59 заказов успешно загружены.
2024-10-29 02:59:11 - Некорректный район: ав
2024-10-29 02:59:31 - Программа запущена. Фильтрация по району: Советский, начальное время: 29.10.2024 14:14:00
2024-10-29 02:59:31 - Отфильтровано 2 заказов, результат успешно записан в файл.
2024-10-29 03:02:36 - Загружен заказ: 2, Район: Промышленный
2024-10-29 03:02:36 - Загружен заказ: 3, Район: Ленинский
2024-10-29 03:02:36 - Загружен заказ: 4, Район: Советский
2024-10-29 03:02:36 - Загружен заказ: 5, Район: Кировский
2024-10-29 03:02:36 - Загружен заказ: 6, Район: Промышленный
2024-10-29 03:02:36 - Загружен заказ: 7, Район: Ленинский
2024-10-29 03:02:36 - Загружен заказ: 8, Район: Советский
2024-10-29 03:02:36 - Загружен заказ: 9, Район: Кировский
2024-10-29 03:02:36 - Загружен заказ: 10, Район: Промышленный
2024-10-29 03:02:36 - Загружен заказ: 11, Район: Ленинский
2024-10-29 03:02:36 - Загружен заказ: 12, Район: Советский
2024-10-29 03:02:36 - Загружен заказ: 13, Район: Кировский
2024-10-29 03:02:36 - Загружен заказ: 14, Район: Промышленный
2024-10-29 03:02:36 - Загружен заказ: 15, Район: Ленинский
2024-10-29 03:02:36 - Загружен заказ: 16, Район: Советский
2024-10-29 03:02:36 - Загружен заказ: 17, Район: Кировский
2024-10-29 03:02:36 - Загружен заказ: 18, Район: Промышленный
2024-10-29 03:02:36 - Загружен заказ: 19, Район: Ленинский
2024-10-29 03:02:36 - Загружен заказ: 20, Район: Советский
2024-10-29 03:02:36 - Загружен заказ: 21, Район: Кировский
2024-10-29 03:02:36 - Загружен заказ: 22, Район: Промышленный
2024-10-29 03:02:36 - Загружен заказ: 23, Район: Ленинский
2024-10-29 03:02:36 - Загружен заказ: 24, Район: Советский
2024-10-29 03:02:36 - Загружен заказ: 25, Район: Кировский
2024-10-29 03:02:36 - Загружен заказ: 26, Район: Промышленный
2024-10-29 03:02:36 - Загружен заказ: 27, Район: Ленинский
2024-10-29 03:02:36 - Загружен заказ: 28, Район: Советский
2024-10-29 03:02:36 - Загружен заказ: 29, Район: Кировский
